|   State | ('Action', '$')   | ('Go to', 'A')   | ('Go to', 'ASSIGNOP')   | ('Go to', 'DIV')   | ('Go to', 'E')   | ('Go to', 'EQ')   | ('Go to', 'F')   | ('Go to', 'ID')   | ('Go to', 'J')   | ('Go to', 'LPAREN')   | ('Go to', 'LT')   | ('Go to', 'M')   | ('Go to', 'MINUS')   | ('Go to', 'NUMBER')   | ('Go to', 'P')   | ('Go to', 'PLUS')   | ('Go to', 'Q')   | ('Go to', 'R')   | ('Go to', 'RPAREN')   | ('Go to', 'SEMICOLON')   | ('Go to', 'T')   | ('Go to', 'TIMES')   | ('Go to', 'V')   | ('Go to', 'W')   | ('Go to', 'X')   | ('Go to', 'Y')   | ('Go to', 'Z')   |
|      28 |                   |                  |                         |                    |                  |                   | 13               | 10                |                  | 9                     |                   |                  |                      | 15                    |                  |                     |                  | 11               |                       |                          |                  |                      |                  |                  | 38               |                  |                  |
|      29 | r4                |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  |                       |                          |                  |                      |                  |                  |                  |                  |                  |
|      30 | r24               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r24                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      31 | r17               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r17                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      32 | r14               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r14                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      33 | r16               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r16                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      34 | r23               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r23                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      35 | r20               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r20                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      36 | r22               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r22                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      37 | r11               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r11                   |                          |                  |                      |                  |                  |                  |                  |                  |
|      38 | r10               |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  | r10                   |                          |                  |                      |                  |                  |                  |                  |                  |
